  table_schema   |            table_name             |             column_name              |        data_type         
-----------------+-----------------------------------+--------------------------------------+--------------------------
 _front_staging  | delete_ids                        | doc_id                               | text
 _front_staging  | epo_document                      | doc_id                               | text
 _front_staging  | epo_document                      | country                              | text
 _front_staging  | epo_document                      | doc_number                           | text
 _front_staging  | epo_document                      | kind                                 | text
 _front_staging  | epo_document                      | family_id                            | text
 _front_staging  | epo_document                      | date_publ                            | date
 _front_staging  | epo_document                      | is_representative                    | boolean
 _front_staging  | epo_document                      | date_of_last_exchange                | date
 _front_staging  | epo_document                      | date_added_docdb                     | date
 _front_staging  | epo_document                      | originating_office                   | text
 _front_staging  | epo_document                      | language                             | text
 _front_staging  | epo_document                      | zip_source                           | text
 arc_v5          | _journal_emb_staging              | doc_id                               | text
 arc_v5          | _journal_emb_staging              | embedding                            | USER-DEFINED
 arc_v5          | arxiv_fulltext                    | arxiv_id                             | text
 arc_v5          | arxiv_fulltext                    | title                                | text
 arc_v5          | arxiv_fulltext                    | fulltext                             | text
 arc_v5          | arxiv_fulltext                    | fulltext_method                      | text
 arc_v5          | arxiv_fulltext                    | char_count                           | integer
 arc_v5          | arxiv_fulltext                    | word_count                           | integer
 arc_v5          | arxiv_fulltext                    | ingested_at                          | timestamp with time zone
 arc_v5          | arxiv_ingest_progress             | tar_file                             | text
 arc_v5          | arxiv_ingest_progress             | status                               | text
 arc_v5          | arxiv_ingest_progress             | paper_count                          | integer
 arc_v5          | arxiv_ingest_progress             | extracted_count                      | integer
 arc_v5          | arxiv_ingest_progress             | error_msg                            | text
 arc_v5          | arxiv_ingest_progress             | started_at                           | timestamp with time zone
 arc_v5          | arxiv_ingest_progress             | completed_at                         | timestamp with time zone
 arc_v5          | epo_abstract                      | id                                   | bigint
 arc_v5          | epo_abstract                      | doc_id                               | text
 arc_v5          | epo_abstract                      | lang                                 | text
 arc_v5          | epo_abstract                      | data_format                          | text
 arc_v5          | epo_abstract                      | abstract_source                      | text
 arc_v5          | epo_abstract                      | abstract_text                        | text
 arc_v5          | epo_application_ref               | doc_id                               | text
 arc_v5          | epo_application_ref               | ref_doc_id                           | text
 arc_v5          | epo_application_ref               | is_representative                    | boolean
 arc_v5          | epo_application_ref               | docdb_country                        | text
 arc_v5          | epo_application_ref               | docdb_doc_number                     | text
 arc_v5          | epo_application_ref               | docdb_kind                           | text
 arc_v5          | epo_application_ref               | docdb_date                           | date
 arc_v5          | epo_application_ref               | epodoc_doc_number                    | text
 arc_v5          | epo_application_ref               | epodoc_date                          | date
 arc_v5          | epo_application_ref               | original_doc_number                  | text
 arc_v5          | epo_application_ref               | original_date                        | date
 arc_v5          | epo_application_ref               | original_lang                        | text
 arc_v5          | epo_application_ref               | epodoc_kind                          | text
 arc_v5          | epo_application_ref               | original_kind                        | text
 arc_v5          | epo_citation_category             | code                                 | text
 arc_v5          | epo_citation_category             | description                          | text
 arc_v5          | epo_citation_npl                  | id                                   | bigint
 arc_v5          | epo_citation_npl                  | doc_id                               | text
 arc_v5          | epo_citation_npl                  | npl_text                             | text
 arc_v5          | epo_citation_npl                  | sequence                             | smallint
 arc_v5          | epo_citation_npl                  | category                             | text
 arc_v5          | epo_citation_patent               | id                                   | bigint
 arc_v5          | epo_citation_patent               | doc_id                               | text
 arc_v5          | epo_citation_patent               | cited_country                        | text
 arc_v5          | epo_citation_patent               | cited_doc_number                     | text
 arc_v5          | epo_citation_patent               | cited_kind                           | text
 arc_v5          | epo_citation_patent               | category                             | text
 arc_v5          | epo_citation_patent               | data_format                          | text
 arc_v5          | epo_citation_patent               | sequence                             | smallint
 arc_v5          | epo_citation_patent               | cited_doc_id                         | text
 arc_v5          | epo_classification_ipc            | id                                   | bigint
 arc_v5          | epo_classification_ipc            | doc_id                               | text
 arc_v5          | epo_classification_ipc            | classification_type                  | text
 arc_v5          | epo_classification_ipc            | code                                 | text
 arc_v5          | epo_classification_ipc            | edition                              | text
 arc_v5          | epo_classification_ipc            | additional_info                      | text
 arc_v5          | epo_classification_ipcr           | id                                   | bigint
 arc_v5          | epo_classification_ipcr           | doc_id                               | text
 arc_v5          | epo_classification_ipcr           | sequence                             | smallint
 arc_v5          | epo_classification_ipcr           | ipcr_text                            | text
 arc_v5          | epo_classification_ipcr           | ipc_section                          | text
 arc_v5          | epo_classification_ipcr           | ipc_class                            | text
 arc_v5          | epo_classification_ipcr           | ipc_subclass                         | text
 arc_v5          | epo_classification_ipcr           | ipc_main_group                       | text
 arc_v5          | epo_classification_ipcr           | ipc_subgroup                         | text
 arc_v5          | epo_classification_ipcr           | ipc_symbol                           | text
 arc_v5          | epo_classification_ipcr           | ipc_version                          | text
 arc_v5          | epo_classification_ipcr           | ipc_level                            | text
 arc_v5          | epo_classification_ipcr           | ipc_position                         | text
 arc_v5          | epo_classification_national       | id                                   | bigint
 arc_v5          | epo_classification_national       | doc_id                               | text
 arc_v5          | epo_classification_national       | nat_text                             | text
 arc_v5          | epo_clusters                      | doc_id                               | text
 arc_v5          | epo_clusters                      | cluster_id                           | integer
 arc_v5          | epo_clusters                      | cpc_subclass                         | text
 arc_v5          | epo_clusters                      | modularity                           | real
 arc_v5          | epo_country                       | code                                 | text
 arc_v5          | epo_country                       | name                                 | text
 arc_v5          | epo_designated_state              | id                                   | bigint
 arc_v5          | epo_designated_state              | doc_id                               | text
 arc_v5          | epo_designated_state              | country                              | text
 arc_v5          | epo_designated_state              | state_type                           | text
 arc_v5          | epo_document                      | doc_id                               | text
 arc_v5          | epo_document                      | country                              | text
 arc_v5          | epo_document                      | doc_number                           | text
 arc_v5          | epo_document                      | kind                                 | text
 arc_v5          | epo_document                      | family_id                            | text
 arc_v5          | epo_document                      | date_publ                            | date
 arc_v5          | epo_document                      | is_representative                    | boolean
 arc_v5          | epo_document                      | date_added_docdb                     | date
 arc_v5          | epo_document                      | date_of_last_exchange                | date
 arc_v5          | epo_document                      | originating_office                   | text
 arc_v5          | epo_document                      | language_of_publication              | text
 arc_v5          | epo_document                      | zip_source                           | text
 arc_v5          | epo_document                      | ingested_at                          | timestamp with time zone
 arc_v5          | epo_document                      | is_deleted                           | boolean
 arc_v5          | epo_document                      | deleted_at                           | timestamp with time zone
 arc_v5          | epo_document_applicant            | id                                   | bigint
 arc_v5          | epo_document_applicant            | doc_id                               | text
